source_start,source_end,target_start,target_end
80004000,80006434,80004000,80006434
8001da60,8001f354,8001d9a0,8001f294
80020884,8002516c,80020794,8002507c
80025174,80028214,80025084,80028124
80028368,8003ca20,8002824c,8003c904
8003cb6c,80053af0,8003ca54,800539d8
80053c50,80057118,80053b38,80057000
800572d0,80080b04,800571b8,800809ec
800817fc,800845a4,80081728,800844d0
800858b8,800a14a0,80085b4c,800a1734
800a1808,800cc1b0,800a1a04,800cc3ac
800cc358,800d22d8,800cc554,800d24d4
800d22d8,800d7c20,800d2500,800d7e48
800d8370,800d8498,800d8540,800d8668
800d8498,800e0e60,800d8668,800e1030
800e0e74,800e4858,800e103c,800e4a20
800e48b4,800e9190,800e4a30,800e930c
800e9a90,800ef1b4,800e9924,800ef048
800ef394,800f1fc0,800ef1ec,800f1e18
800f2188,800f4d8c,800f1ed8,800f4adc
800f5694,800f8434,800f52b4,800f8054
800f897c,800fc180,800f8590,800fbd94
800fdbb4,800ffdb0,800fd208,800ff404
80100234,80101a58,800ff888,801010ac
80101dfc,8010aec4,8010141c,8010a4e4
8010b2ec,8010c440,8010a90c,8010ba60
8010c4a4,801121dc,8010ba60,80111798
80112348,8012b098,801118ec,8012a63c
8012b20c,801369b0,8012a790,80135f34
80136d1c,8013b290,80136294,8013a808
8013b2dc,8013c234,8013a82c,8013b784
8013c5d8,80146904,8013bb0c,80145e38
80146b44,80147bd4,80146050,801470e0
80147c30,80157938,8014713c,80156e44
80157994,8015eb58,80156ea0,8015e064
8015edec,80161d70,8015e280,80161204
80162a2c,80165780,80161e7c,80164bd0
80165888,8016a648,80164cb4,80169a74
8016a67c,8016b9a0,80169aa8,8016adcc
8016b9dc,8016eb40,8016ae08,8016df6c
8016eb48,80178b00,8016df74,80177f2c
8017a318,8017b8c0,80179680,8017ac28
8017bc40,8017e890,8017af94,8017dbe4
80180cb4,8018e0f8,8017ffc8,8018d40c
8018e3b4,80193adc,8018d6b0,80192dd8
80194d98,8019a17c,80193f68,8019934c
8019af64,8019e29c,8019a0e0,8019d418
8019e2e0,801a2ca0,8019d554,801a1f14
801a2ee4,801a7dfc,801a22ac,801a71c4
801a8400,801aaeb4,801a7660,801aa114
801abeb4,801acdc8,801ab050,801abf64
801aeefc,801b2934,801adfe4,801b1a1c
801b338c,801b8114,801b2344,801b70cc
801b8140,801c793c,801b70c0,801c68bc
801c8aa8,801ca488,801c78b4,801c9294
801cc90c,801d1248,801cb1ac,801cfae8
801d1414,801d25b8,801cfc74,801d0e18
801d25f4,801d5f20,801d0e18,801d4744
801d626c,801dad74,801d4ac8,801d95d0
801dd908,801e20d4,801dc104,801e08d0
801e21f4,801e3a28,801e0a20,801e2254
801e3e90,801e5cc8,801e266c,801e44a4
801e74a8,801ea998,801e5be0,801e90d0
801eb4f8,801ee470,801e9c24,801ecb9c
801ee53c,801f26dc,801ecc0c,801f0dac
801f2858,801fb46c,801f0ee4,801f9af8
801fdd90,80200c38,801fbdbc,801fec64
80200d5c,80202e6c,801fec58,80200d68
80202ea8,8020454c,80200d68,8020240c
80204588,8020ebf0,8020240c,8020ca74
8020ef04,80214514,8020cd6c,8021237c
80215230,80217214,80212f94,80214f78
80217284,8021dbcc,80214f78,8021b8c0
8021dc40,8021fcc0,8021b8c0,8021d940
8021fce4,80225a04,8021d940,80223660
80225ddc,80226f20,802239ec,80224b30
80227208,8022dd70,80224e0c,8022b974
8022f128,80230c2c,8022cc94,8022e798
80230c80,80232b70,8022e798,80230688
802333e8,802342f8,80230e88,80231d98
80234368,802385a4,80231d98,80235fd4
802385e0,8023ce1c,80235fe4,8023a820
8023ce1c,8023e698,8023a828,8023c0a4
8023f0d4,802416f4,8023ca04,8023f024
80241d7c,8024bbac,8023f62c,8024945c
8024bdc8,80270080,80249578,8026d830
80270080,80274664,8026d860,80271e44
80274e30,80277c24,802725d4,802753c8
80277d64,80287130,802753c8,80284794
80287cc4,80288e00,80285208,80286344
8028a640,8028ba9c,80287b04,80288f60
8028badc,80296084,80288f60,80293508
80296084,802cd728,80293768,802cae0c
802d117c,802d32a0,802ce7a8,802d08cc
802d32c0,802d44ac,802d08d8,802d1ac4
802d4e18,802d5e30,802d23b0,802d33c8
802d9e74,802dbd84,802d7130,802d9040
802dcf7c,802e15c4,802da190,802de7d8
802e208c,802e7e3c,802df184,802e4f34
802eb31c,802ecaac,802e7ad0,802e9260
802ef58c,802f3100,802ec528,802f009c
802f3ac4,802f4f74,802f0a0c,802f1ebc
802f4fa0,802f6688,802f1ef0,802f35d8
802f6688,802f8acc,802f37a4,802f5be8
802fbe2c,802fcf28,802f8f78,802fa074
803030e8,80304120,802ffbe0,80300c18
80313774,80317544,80310a14,803147e4
803177b4,803193a4,80314a50,80316640
803193d4,8031b0f4,80316660,80318380